TwoTheta,Counts,Starch
50.625,1450,Tapioca
50.604,1465,Tapioca
50.583,1473,Tapioca
50.562,1421,Tapioca
50.541,1474,Tapioca
50.519,1522,Tapioca
50.498,1499,Tapioca
50.477,1537,Tapioca
50.456,1459,Tapioca
50.435,1523,Tapioca
50.414,1510,Tapioca
50.393,1509,Tapioca
50.371,1486,Tapioca
50.35,1520,Tapioca
50.329,1501,Tapioca
50.308,1530,Tapioca
50.287,1501,Tapioca
50.266,1464,Tapioca
50.245,1541,Tapioca
50.223,1490,Tapioca
50.202,1548,Tapioca
50.181,1580,Tapioca
50.16,1521,Tapioca
50.139,1504,Tapioca
50.118,1448,Tapioca
50.097,1565,Tapioca
50.076,1514,Tapioca
50.054,1563,Tapioca
50.033,1564,Tapioca
50.012,1463,Tapioca
49.991,1463,Tapioca
49.97,1534,Tapioca
49.949,1584,Tapioca
49.928,1610,Tapioca
49.906,1522,Tapioca
49.885,1500,Tapioca
49.864,1578,Tapioca
49.843,1540,Tapioca
49.822,1576,Tapioca
49.801,1636,Tapioca
49.78,1590,Tapioca
49.758,1640,Tapioca
49.737,1558,Tapioca
49.716,1538,Tapioca
49.695,1582,Tapioca
49.674,1561,Tapioca
49.653,1633,Tapioca
49.632,1602,Tapioca
49.61,1545,Tapioca
49.589,1575,Tapioca
49.568,1685,Tapioca
49.547,1616,Tapioca
49.526,1580,Tapioca
49.505,1585,Tapioca
49.484,1566,Tapioca
49.462,1636,Tapioca
49.441,1636,Tapioca
49.42,1609,Tapioca
49.399,1623,Tapioca
49.378,1598,Tapioca
49.357,1680,Tapioca
49.336,1604,Tapioca
49.314,1636,Tapioca
49.293,1677,Tapioca
49.272,1612,Tapioca
49.251,1648,Tapioca
49.23,1764,Tapioca
49.209,1655,Tapioca
49.188,1668,Tapioca
49.166,1635,Tapioca
49.145,1625,Tapioca
49.124,1659,Tapioca
49.103,1697,Tapioca
49.082,1555,Tapioca
49.061,1753,Tapioca
49.04,1700,Tapioca
49.018,1658,Tapioca
48.997,1648,Tapioca
48.976,1663,Tapioca
48.955,1643,Tapioca
48.934,1611,Tapioca
48.913,1676,Tapioca
48.892,1731,Tapioca
48.87,1676,Tapioca
48.849,1763,Tapioca
48.828,1737,Tapioca
48.807,1667,Tapioca
48.786,1679,Tapioca
48.765,1681,Tapioca
48.744,1730,Tapioca
48.722,1725,Tapioca
48.701,1723,Tapioca
48.68,1737,Tapioca
48.659,1789,Tapioca
48.638,1671,Tapioca
48.617,1740,Tapioca
48.596,1753,Tapioca
48.574,1805,Tapioca
48.553,1748,Tapioca
48.532,1752,Tapioca
48.511,1761,Tapioca
48.49,1708,Tapioca
48.469,1717,Tapioca
48.448,1842,Tapioca
48.426,1737,Tapioca
48.405,1743,Tapioca
48.384,1811,Tapioca
48.363,1799,Tapioca
48.342,1769,Tapioca
48.321,1820,Tapioca
48.3,1796,Tapioca
48.278,1740,Tapioca
48.257,1797,Tapioca
48.236,1811,Tapioca
48.215,1753,Tapioca
48.194,1851,Tapioca
48.173,1821,Tapioca
48.152,1769,Tapioca
48.13,1821,Tapioca
48.109,1876,Tapioca
48.088,1742,Tapioca
48.067,1752,Tapioca
48.046,1806,Tapioca
48.025,1796,Tapioca
48.004,1919,Tapioca
47.982,1801,Tapioca
47.961,1878,Tapioca
47.94,1807,Tapioca
47.919,1799,Tapioca
47.898,1882,Tapioca
47.877,1840,Tapioca
47.856,1854,Tapioca
47.834,1847,Tapioca
47.813,1907,Tapioca
47.792,1789,Tapioca
47.771,1787,Tapioca
47.75,1841,Tapioca
47.729,1843,Tapioca
47.708,1894,Tapioca
47.686,1812,Tapioca
47.665,1872,Tapioca
47.644,1912,Tapioca
47.623,1863,Tapioca
47.602,1898,Tapioca
47.581,1871,Tapioca
47.56,1819,Tapioca
47.538,1908,Tapioca
47.517,1877,Tapioca
47.496,1843,Tapioca
47.475,1940,Tapioca
47.454,1870,Tapioca
47.433,1857,Tapioca
47.412,1909,Tapioca
47.39,1857,Tapioca
47.369,1901,Tapioca
47.348,2006,Tapioca
47.327,1815,Tapioca
47.306,1914,Tapioca
47.285,1945,Tapioca
47.264,1857,Tapioca
47.242,1868,Tapioca
47.221,1857,Tapioca
47.2,1898,Tapioca
47.179,1869,Tapioca
47.158,1878,Tapioca
47.137,1905,Tapioca
47.116,1851,Tapioca
47.094,1968,Tapioca
47.073,1871,Tapioca
47.052,1872,Tapioca
47.031,1807,Tapioca
47.01,1866,Tapioca
46.989,1842,Tapioca
46.968,1843,Tapioca
46.946,1911,Tapioca
46.925,2004,Tapioca
46.904,1928,Tapioca
46.883,1850,Tapioca
46.862,1843,Tapioca
46.841,1864,Tapioca
46.82,1904,Tapioca
46.798,1899,Tapioca
46.777,1946,Tapioca
46.756,1854,Tapioca
46.735,1892,Tapioca
46.714,1877,Tapioca
46.693,1924,Tapioca
46.672,1917,Tapioca
46.65,1939,Tapioca
46.629,1945,Tapioca
46.608,1979,Tapioca
46.587,1899,Tapioca
46.566,1878,Tapioca
46.545,1916,Tapioca
46.524,1815,Tapioca
46.502,1882,Tapioca
46.481,1898,Tapioca
46.46,1835,Tapioca
46.439,1912,Tapioca
46.418,1913,Tapioca
46.397,1881,Tapioca
46.376,1888,Tapioca
46.354,1948,Tapioca
46.333,2012,Tapioca
46.312,1839,Tapioca
46.291,1910,Tapioca
46.27,1889,Tapioca
46.249,1846,Tapioca
46.228,1964,Tapioca
46.206,1860,Tapioca
46.185,1926,Tapioca
46.164,1936,Tapioca
46.143,1865,Tapioca
46.122,1896,Tapioca
46.101,1842,Tapioca
46.08,1881,Tapioca
46.058,1885,Tapioca
46.037,1838,Tapioca
46.016,1931,Tapioca
45.995,1857,Tapioca
45.974,1916,Tapioca
45.953,1949,Tapioca
45.932,1927,Tapioca
45.91,1845,Tapioca
45.889,1935,Tapioca
45.868,1869,Tapioca
45.847,1866,Tapioca
45.826,1903,Tapioca
45.805,1929,Tapioca
45.784,1869,Tapioca
45.762,1870,Tapioca
45.741,1840,Tapioca
45.72,1910,Tapioca
45.699,1887,Tapioca
45.678,1855,Tapioca
45.657,1974,Tapioca
45.636,1867,Tapioca
45.614,1974,Tapioca
45.593,1903,Tapioca
45.572,1857,Tapioca
45.551,1877,Tapioca
45.53,1894,Tapioca
45.509,1824,Tapioca
45.488,1904,Tapioca
45.466,1892,Tapioca
45.445,1898,Tapioca
45.424,1903,Tapioca
45.403,1845,Tapioca
45.382,1891,Tapioca
45.361,1970,Tapioca
45.34,1880,Tapioca
45.318,1845,Tapioca
45.297,1888,Tapioca
45.276,1929,Tapioca
45.255,1827,Tapioca
45.234,1867,Tapioca
45.213,1939,Tapioca
45.192,1788,Tapioca
45.17,1932,Tapioca
45.149,1982,Tapioca
45.128,1961,Tapioca
45.107,1897,Tapioca
45.086,1907,Tapioca
45.065,1864,Tapioca
45.044,1934,Tapioca
45.022,1854,Tapioca
45.001,1938,Tapioca
44.98,1826,Tapioca
44.959,1928,Tapioca
44.938,1895,Tapioca
44.917,1936,Tapioca
44.896,1924,Tapioca
44.874,1895,Tapioca
44.853,1969,Tapioca
44.832,1990,Tapioca
44.811,1912,Tapioca
44.79,1997,Tapioca
44.769,1929,Tapioca
44.748,1979,Tapioca
44.726,1910,Tapioca
44.705,1995,Tapioca
44.684,2049,Tapioca
44.663,1917,Tapioca
44.642,1994,Tapioca
44.621,1897,Tapioca
44.6,1973,Tapioca
44.578,1980,Tapioca
44.557,1937,Tapioca
44.536,1975,Tapioca
44.515,1976,Tapioca
44.494,2016,Tapioca
44.473,1965,Tapioca
44.452,1974,Tapioca
44.43,1985,Tapioca
44.409,2014,Tapioca
44.388,1922,Tapioca
44.367,1980,Tapioca
44.346,1925,Tapioca
44.325,1935,Tapioca
44.304,1966,Tapioca
44.282,1999,Tapioca
44.261,2011,Tapioca
44.24,1989,Tapioca
44.219,2009,Tapioca
44.198,1941,Tapioca
44.177,1988,Tapioca
44.156,2005,Tapioca
44.135,2027,Tapioca
44.113,1979,Tapioca
44.092,1986,Tapioca
44.071,1931,Tapioca
44.05,2031,Tapioca
44.029,2069,Tapioca
44.008,2029,Tapioca
43.987,1959,Tapioca
43.965,2046,Tapioca
43.944,2024,Tapioca
43.923,2037,Tapioca
43.902,2096,Tapioca
43.881,2034,Tapioca
43.86,2083,Tapioca
43.839,2022,Tapioca
